recall_id,clause_id,segment_ids,fan_out,reciprocal,percentage,including_other_clauses_percentage,including_other_clauses,only_secondary,totally_missed,max_clause_id,clause_position
60c4c5e3253d7f15de0bc71a,1,[2],1,[],0.0,0.0,[],set(),{2},14,0.07142857142857142
60c4c5e3253d7f15de0bc71a,2,[5],1,[],0.0,0.0,[],set(),{5},14,0.14285714285714285
60c4c5e3253d7f15de0bc71a,3,"[7, 9]",2,[],0.0,0.0,[],set(),"{9, 7}",14,0.21428571428571427
60c4c5e3253d7f15de0bc71a,4,[7],1,[],0.0,0.0,[],set(),{7},14,0.2857142857142857
60c4c5e3253d7f15de0bc71a,5,[8],1,[],0.0,0.0,[],set(),{8},14,0.35714285714285715
60c4c5e3253d7f15de0bc71a,6,"[28, 29]",2,[],0.0,0.0,[],set(),"{28, 29}",14,0.42857142857142855
60c4c5e3253d7f15de0bc71a,7,[28],1,[],0.0,0.0,[],set(),{28},14,0.5
60c4c5e3253d7f15de0bc71a,8,[10],1,[],0.0,0.0,[],set(),{10},14,0.5714285714285714
60c4c5e3253d7f15de0bc71a,9,[12],1,[],0.0,0.0,[],set(),{12},14,0.6428571428571429
60c4c5e3253d7f15de0bc71a,10,[13],1,[],0.0,0.0,[],set(),{13},14,0.7142857142857143
60c4c5e3253d7f15de0bc71a,11,[14],1,[],0.0,0.0,[],set(),{14},14,0.7857142857142857
60c4c5e3253d7f15de0bc71a,12,[21],1,[],0.0,0.0,[],set(),{21},14,0.8571428571428571
60c4c5e3253d7f15de0bc71a,13,[26],1,[],0.0,0.0,[],set(),{26},14,0.9285714285714286
60c4c5e3253d7f15de0bc71a,14,[20],1,[],0.0,0.0,[],set(),{20},14,1.0
60fd36bd3daa2d81249f11b2,1,[1],1,[],0.0,0.0,[],set(),{1},20,0.05
60fd36bd3daa2d81249f11b2,2,"[1, 2]",2,[],0.0,0.0,[],set(),"{1, 2}",20,0.1
60fd36bd3daa2d81249f11b2,3,[5],1,[],0.0,0.0,[],set(),{5},20,0.15
60fd36bd3daa2d81249f11b2,4,[8],1,[],0.0,0.0,[],set(),{8},20,0.2
60fd36bd3daa2d81249f11b2,5,[7],1,[],0.0,0.0,[],set(),{7},20,0.25
60fd36bd3daa2d81249f11b2,6,[9],1,[],0.0,0.0,[],set(),{9},20,0.3
60fd36bd3daa2d81249f11b2,7,[10],1,[],0.0,0.0,[],set(),{10},20,0.35
60fd36bd3daa2d81249f11b2,8,[11],1,[],0.0,0.0,[],set(),{11},20,0.4
60fd36bd3daa2d81249f11b2,9,[11],1,[],0.0,0.0,[],set(),{11},20,0.45
60fd36bd3daa2d81249f11b2,10,"[12, 13]",2,[],0.0,0.0,[],set(),"{12, 13}",20,0.5
60fd36bd3daa2d81249f11b2,11,"[14, 15]",2,[],0.0,0.0,[],set(),"{14, 15}",20,0.55
60fd36bd3daa2d81249f11b2,12,"[16, 22]",2,[],0.0,0.0,[],set(),"{16, 22}",20,0.6
60fd36bd3daa2d81249f11b2,13,"[35, 36, 37, 38]",4,[],0.0,0.0,[],set(),"{35, 36, 37, 38}",20,0.65
60fd36bd3daa2d81249f11b2,14,[40],1,[],0.0,0.0,[],set(),{40},20,0.7
60fd36bd3daa2d81249f11b2,15,"[41, 42]",2,[],0.0,0.0,[],set(),"{41, 42}",20,0.75
60fd36bd3daa2d81249f11b2,16,[47],1,[],0.0,0.0,[],set(),{47},20,0.8
60fd36bd3daa2d81249f11b2,17,"[45, 46]",2,[],0.0,0.0,[],set(),"{45, 46}",20,0.85
60fd36bd3daa2d81249f11b2,18,"[43, 44]",2,[],0.0,0.0,[],set(),"{43, 44}",20,0.9
60fd36bd3daa2d81249f11b2,19,"[49, 50]",2,[],0.0,0.0,[],set(),"{49, 50}",20,0.95
60fd36bd3daa2d81249f11b2,20,"[51, 52, 53, 54]",4,[],0.0,0.0,[],set(),"{51, 52, 53, 54}",20,1.0
60e03b37c87de3cc083b358b,1,[5],1,[],0.0,0.0,[],set(),{5},11,0.09090909090909091
60e03b37c87de3cc083b358b,2,"[7, 9]",2,[],0.0,0.0,[],set(),"{9, 7}",11,0.18181818181818182
60e03b37c87de3cc083b358b,3,"[3, 4, 10]",3,[],0.0,0.0,[],set(),"{10, 3, 4}",11,0.2727272727272727
60e03b37c87de3cc083b358b,4,[11],1,[],0.0,0.0,[],set(),{11},11,0.36363636363636365
60e03b37c87de3cc083b358b,5,"[12, 13, 18, 26]",4,[],0.0,0.0,[],set(),"{18, 26, 12, 13}",11,0.45454545454545453
60e03b37c87de3cc083b358b,6,"[14, 15, 19, 21, 35]",5,[],0.0,0.0,[],set(),"{35, 19, 21, 14, 15}",11,0.5454545454545454
60e03b37c87de3cc083b358b,7,[41],1,[],0.0,0.0,[],set(),{41},11,0.6363636363636364
60e03b37c87de3cc083b358b,8,"[42, 46, 47, 48]",4,[],0.0,0.0,[],set(),"{48, 42, 46, 47}",11,0.7272727272727273
60e03b37c87de3cc083b358b,9,"[42, 48]",2,[],0.0,0.0,[],set(),"{48, 42}",11,0.8181818181818182
60e03b37c87de3cc083b358b,10,[45],1,[],0.0,0.0,[],set(),{45},11,0.9090909090909091
60e03b37c87de3cc083b358b,11,"[44, 49]",2,[],0.0,0.0,[],set(),"{49, 44}",11,1.0
60fea505c8796961a71b67d9,1,[1],1,[],0.0,0.0,[],set(),{1},16,0.0625
60fea505c8796961a71b67d9,2,[2],1,[],0.0,0.0,[],set(),{2},16,0.125
60fea505c8796961a71b67d9,3,[5],1,[],0.0,0.0,[],set(),{5},16,0.1875
60fea505c8796961a71b67d9,4,"[3, 4]",2,[],0.0,0.0,[],set(),"{3, 4}",16,0.25
60fea505c8796961a71b67d9,5,"[7, 9]",2,[],0.0,0.0,[],set(),"{9, 7}",16,0.3125
60fea505c8796961a71b67d9,6,[10],1,[],0.0,0.0,[],set(),{10},16,0.375
60fea505c8796961a71b67d9,7,[11],1,[],0.0,0.0,[],set(),{11},16,0.4375
60fea505c8796961a71b67d9,8,"[12, 13, 14]",3,[],0.0,0.0,[],set(),"{12, 13, 14}",16,0.5
60fea505c8796961a71b67d9,9,[20],1,[],0.0,0.0,[],set(),{20},16,0.5625
