recall_id,clause_id,segment_ids,fan_out,reciprocal,percentage,including_other_clauses_percentage,including_other_clauses,only_secondary,totally_missed,max_clause_id,clause_position
5f305d059a58b14b23eeccb8,1,"[1, 3]",2,[],0.0,0.0,[],set(),"{1, 3}",13,0.07692307692307693
5f305d059a58b14b23eeccb8,2,"[5, 6, 7]",3,[],0.0,0.0,[],set(),"{5, 6, 7}",13,0.15384615384615385
5f305d059a58b14b23eeccb8,3,[8],1,[],0.0,0.0,[],set(),{8},13,0.23076923076923078
5f305d059a58b14b23eeccb8,4,[5],1,[],0.0,0.0,[],set(),{5},13,0.3076923076923077
5f305d059a58b14b23eeccb8,5,[9],1,[],0.0,0.0,[],set(),{9},13,0.38461538461538464
5f305d059a58b14b23eeccb8,6,"[10, 13, 19, 20, 26, 27, 28]",7,[],0.0,0.0,[],set(),"{19, 20, 26, 10, 27, 28, 13}",13,0.46153846153846156
5f305d059a58b14b23eeccb8,7,"[15, 35]",2,[],0.0,0.0,[],set(),"{35, 15}",13,0.5384615384615384
5f305d059a58b14b23eeccb8,8,"[15, 24, 25, 26, 27, 28]",6,[],0.0,0.0,[],set(),"{24, 25, 26, 27, 28, 15}",13,0.6153846153846154
5f305d059a58b14b23eeccb8,9,"[31, 32, 33, 34]",4,[],0.0,0.0,[],set(),"{32, 33, 34, 31}",13,0.6923076923076923
5f305d059a58b14b23eeccb8,10,"[36, 37]",2,[],0.0,0.0,[],set(),"{36, 37}",13,0.7692307692307693
5f305d059a58b14b23eeccb8,11,[38],1,[],0.0,0.0,[],set(),{38},13,0.8461538461538461
5f305d059a58b14b23eeccb8,12,"[39, 40, 41, 46, 47]",5,[],0.0,0.0,[],set(),"{39, 40, 41, 46, 47}",13,0.9230769230769231
5f305d059a58b14b23eeccb8,13,"[43, 44, 45, 49, 50, 52, 53]",7,[],0.0,0.0,[],set(),"{49, 50, 52, 53, 43, 44, 45}",13,1.0
5e39f4be81b2ac0a49f999e6,1,[3],1,[],0.0,0.0,[],set(),{3},11,0.09090909090909091
5e39f4be81b2ac0a49f999e6,2,[5],1,[],0.0,0.0,[],set(),{5},11,0.18181818181818182
5e39f4be81b2ac0a49f999e6,3,[6],1,[],0.0,0.0,[],set(),{6},11,0.2727272727272727
5e39f4be81b2ac0a49f999e6,4,"[9, 11, 13]",3,[],0.0,0.0,[],set(),"{9, 11, 13}",11,0.36363636363636365
5e39f4be81b2ac0a49f999e6,5,[21],1,[],0.0,0.0,[],set(),{21},11,0.45454545454545453
5e39f4be81b2ac0a49f999e6,6,[15],1,[],0.0,0.0,[],set(),{15},11,0.5454545454545454
5e39f4be81b2ac0a49f999e6,7,"[24, 27, 28]",3,[],0.0,0.0,[],set(),"{24, 27, 28}",11,0.6363636363636364
5e39f4be81b2ac0a49f999e6,8,"[31, 35]",2,[],0.0,0.0,[],set(),"{35, 31}",11,0.7272727272727273
5e39f4be81b2ac0a49f999e6,9,[36],1,[],0.0,0.0,[],set(),{36},11,0.8181818181818182
5e39f4be81b2ac0a49f999e6,10,[38],1,[],0.0,0.0,[],set(),{38},11,0.9090909090909091
5e39f4be81b2ac0a49f999e6,11,"[37, 39, 40]",3,[],0.0,0.0,[],set(),"{40, 37, 39}",11,1.0
5c5ad828903c7700010a4635,1,[1],1,[],0.0,0.0,[],set(),{1},26,0.038461538461538464
5c5ad828903c7700010a4635,2,[1],1,[],0.0,0.0,[],set(),{1},26,0.07692307692307693
5c5ad828903c7700010a4635,3,[3],1,[],0.0,0.0,[],set(),{3},26,0.11538461538461539
5c5ad828903c7700010a4635,4,"[9, 13, 15]",3,[],0.0,0.0,[],set(),"{9, 13, 15}",26,0.15384615384615385
5c5ad828903c7700010a4635,5,"[24, 25, 27, 28]",4,[],0.0,0.0,[],set(),"{24, 25, 27, 28}",26,0.19230769230769232
5c5ad828903c7700010a4635,6,"[10, 24]",2,[],0.0,0.0,[],set(),"{24, 10}",26,0.23076923076923078
5c5ad828903c7700010a4635,7,[7],1,[],0.0,0.0,[],set(),{7},26,0.2692307692307692
5c5ad828903c7700010a4635,8,"[5, 6]",2,[],0.0,0.0,[],set(),"{5, 6}",26,0.3076923076923077
5c5ad828903c7700010a4635,9,"[5, 6, 37]",3,[],0.0,0.0,[],set(),"{5, 37, 6}",26,0.34615384615384615
5c5ad828903c7700010a4635,10,[8],1,[],0.0,0.0,[],set(),{8},26,0.38461538461538464
5c5ad828903c7700010a4635,11,[15],1,[],0.0,0.0,[],set(),{15},26,0.4230769230769231
5c5ad828903c7700010a4635,12,"[27, 28]",2,[],0.0,0.0,[],set(),"{27, 28}",26,0.46153846153846156
5c5ad828903c7700010a4635,13,[29],1,[],0.0,0.0,[],set(),{29},26,0.5
5c5ad828903c7700010a4635,14,"[31, 32, 33, 34]",4,[],0.0,0.0,[],set(),"{32, 33, 34, 31}",26,0.5384615384615384
5c5ad828903c7700010a4635,15,[36],1,[],0.0,0.0,[],set(),{36},26,0.5769230769230769
5c5ad828903c7700010a4635,16,[38],1,[],0.0,0.0,[],set(),{38},26,0.6153846153846154
5c5ad828903c7700010a4635,17,[38],1,[],0.0,0.0,[],set(),{38},26,0.6538461538461539
5c5ad828903c7700010a4635,18,"[37, 38]",2,[],0.0,0.0,[],set(),"{37, 38}",26,0.6923076923076923
5c5ad828903c7700010a4635,19,[5],1,[],0.0,0.0,[],set(),{5},26,0.7307692307692307
5c5ad828903c7700010a4635,20,"[5, 6]",2,[],0.0,0.0,[],set(),"{5, 6}",26,0.7692307692307693
5c5ad828903c7700010a4635,21,"[46, 47]",2,[],0.0,0.0,[],set(),"{46, 47}",26,0.8076923076923077
5c5ad828903c7700010a4635,22,[49],1,[],0.0,0.0,[],set(),{49},26,0.8461538461538461
5c5ad828903c7700010a4635,23,"[43, 44, 45, 53]",4,[],0.0,0.0,[],set(),"{53, 43, 44, 45}",26,0.8846153846153846
5c5ad828903c7700010a4635,24,[53],1,[],0.0,0.0,[],set(),{53},26,0.9230769230769231
5c5ad828903c7700010a4635,25,[20],1,[],0.0,0.0,[],set(),{20},26,0.9615384615384616
5c5ad828903c7700010a4635,26,"[19, 45]",2,[],0.0,0.0,[],set(),"{19, 45}",26,1.0
605ba57d2842d8291b4afd24,1,[1],1,[],0.0,0.0,[],set(),{1},26,0.038461538461538464
605ba57d2842d8291b4afd24,2,[1],1,[],0.0,0.0,[],set(),{1},26,0.07692307692307693
605ba57d2842d8291b4afd24,3,[3],1,[],0.0,0.0,[],set(),{3},26,0.11538461538461539
605ba57d2842d8291b4afd24,4,[7],1,[],0.0,0.0,[],set(),{7},26,0.15384615384615385
605ba57d2842d8291b4afd24,5,[8],1,[],0.0,0.0,[],set(),{8},26,0.19230769230769232
605ba57d2842d8291b4afd24,6,"[5, 6]",2,[],0.0,0.0,[],set(),"{5, 6}",26,0.23076923076923078
605ba57d2842d8291b4afd24,7,[9],1,[],0.0,0.0,[],set(),{9},26,0.2692307692307692
605ba57d2842d8291b4afd24,8,"[9, 30]",2,[],0.0,0.0,[],set(),"{9, 30}",26,0.3076923076923077
605ba57d2842d8291b4afd24,9,"[9, 10]",2,[],0.0,0.0,[],set(),"{9, 10}",26,0.34615384615384615
605ba57d2842d8291b4afd24,10,[10],1,[],0.0,0.0,[],set(),{10},26,0.38461538461538464
605ba57d2842d8291b4afd24,11,[10],1,[],0.0,0.0,[],set(),{10},26,0.4230769230769231
