recall_id,clause_id,segment_ids,fan_out,reciprocal,percentage,including_other_clauses_percentage,including_other_clauses,only_secondary,totally_missed,max_clause_id,clause_position
60693e637bc58fc13d57b1a7,1,[1],1,[],0.0,0.0,[],set(),{1},12,0.08333333333333333
60693e637bc58fc13d57b1a7,2,[1],1,[],0.0,0.0,[],set(),{1},12,0.16666666666666666
60693e637bc58fc13d57b1a7,3,[2],1,[],0.0,0.0,[],set(),{2},12,0.25
60693e637bc58fc13d57b1a7,4,[3],1,[],0.0,0.0,[],set(),{3},12,0.3333333333333333
60693e637bc58fc13d57b1a7,5,[],0,[],0.0,0.0,[],set(),set(),12,0.4166666666666667
60693e637bc58fc13d57b1a7,6,[4],1,[],0.0,0.0,[],set(),{4},12,0.5
60693e637bc58fc13d57b1a7,7,[5],1,[],0.0,0.0,[],set(),{5},12,0.5833333333333334
60693e637bc58fc13d57b1a7,8,[6],1,[],0.0,0.0,[],set(),{6},12,0.6666666666666666
60693e637bc58fc13d57b1a7,9,[7],1,[],0.0,0.0,[],set(),{7},12,0.75
60693e637bc58fc13d57b1a7,10,[8],1,[],0.0,0.0,[],set(),{8},12,0.8333333333333334
60693e637bc58fc13d57b1a7,11,"[9, 10]",2,[],0.0,0.0,[],set(),"{9, 10}",12,0.9166666666666666
60693e637bc58fc13d57b1a7,12,[11],1,[],0.0,0.0,[],set(),{11},12,1.0
59f39daef4217300016cbed4,1,[1],1,[],0.0,0.0,[],set(),{1},8,0.125
59f39daef4217300016cbed4,2,"[2, 3]",2,[],0.0,0.0,[],set(),"{2, 3}",8,0.25
59f39daef4217300016cbed4,3,[2],1,[],0.0,0.0,[],set(),{2},8,0.375
59f39daef4217300016cbed4,4,[3],1,[],0.0,0.0,[],set(),{3},8,0.5
59f39daef4217300016cbed4,5,[4],1,[],0.0,0.0,[],set(),{4},8,0.625
59f39daef4217300016cbed4,6,"[5, 6, 7]",3,[],0.0,0.0,[],set(),"{5, 6, 7}",8,0.75
59f39daef4217300016cbed4,7,"[8, 9, 10, 11]",4,[],0.0,0.0,[],set(),"{8, 9, 10, 11}",8,0.875
59f39daef4217300016cbed4,8,"[7, 8]",2,[],0.0,0.0,[],set(),"{8, 7}",8,1.0
5f4560c565e28d13e5dd5d56,1,[1],1,[],0.0,0.0,[],set(),{1},9,0.1111111111111111
5f4560c565e28d13e5dd5d56,2,"[1, 2, 3]",3,[],0.0,0.0,[],set(),"{1, 2, 3}",9,0.2222222222222222
5f4560c565e28d13e5dd5d56,3,"[4, 5]",2,[],0.0,0.0,[],set(),"{4, 5}",9,0.3333333333333333
5f4560c565e28d13e5dd5d56,4,[6],1,[],0.0,0.0,[],set(),{6},9,0.4444444444444444
5f4560c565e28d13e5dd5d56,5,"[8, 9, 10, 11]",4,[],0.0,0.0,[],set(),"{8, 9, 10, 11}",9,0.5555555555555556
5f4560c565e28d13e5dd5d56,6,[12],1,[],0.0,0.0,[],set(),{12},9,0.6666666666666666
5f4560c565e28d13e5dd5d56,7,[17],1,[],0.0,0.0,[],set(),{17},9,0.7777777777777778
5f4560c565e28d13e5dd5d56,8,"[25, 26]",2,[],0.0,0.0,[],set(),"{25, 26}",9,0.8888888888888888
5f4560c565e28d13e5dd5d56,9,[28],1,[],0.0,0.0,[],set(),{28},9,1.0
5b3f93fc1388aa0001a80aaf,1,[1],1,[],0.0,0.0,[],set(),{1},27,0.037037037037037035
