recall_id,clause_id,segment_ids,fan_out,reciprocal,percentage,including_other_clauses_percentage,including_other_clauses,only_secondary,totally_missed,max_clause_id,clause_position
5dd00f0e82a527107df2df46,1,"[1, 2]",2,"[1, 2]",100.0,100.0,"[1, 2]",set(),set(),20,0.05
5dd00f0e82a527107df2df46,2,"[6, 7]",2,[6],50.0,100.0,"[6, 7]",{7},set(),20,0.1
5dd00f0e82a527107df2df46,3,"[3, 4]",2,[3],50.0,50.0,[3],set(),{4},20,0.15
5dd00f0e82a527107df2df46,4,"[6, 7]",2,[7],50.0,100.0,"[6, 7]",{6},set(),20,0.2
5dd00f0e82a527107df2df46,5,"[10, 13, 14]",3,[10],33.333333333333336,33.333333333333336,[10],set(),"{13, 14}",20,0.25
5dd00f0e82a527107df2df46,6,[8],1,[8],100.0,100.0,[8],set(),set(),20,0.3
5dd00f0e82a527107df2df46,7,[12],1,[12],100.0,100.0,[12],set(),set(),20,0.35
5dd00f0e82a527107df2df46,8,[15],1,[15],100.0,100.0,[15],set(),set(),20,0.4
5dd00f0e82a527107df2df46,9,"[21, 22]",2,[21],50.0,50.0,[21],set(),{22},20,0.45
5dd00f0e82a527107df2df46,10,"[25, 26]",2,"[25, 26]",100.0,100.0,"[25, 26]",set(),set(),20,0.5
5dd00f0e82a527107df2df46,11,"[23, 24, 27]",3,"[23, 27]",66.66666666666667,66.66666666666667,"[23, 27]",set(),{24},20,0.55
5dd00f0e82a527107df2df46,12,"[30, 31]",2,"[30, 31]",100.0,100.0,"[30, 31]",set(),set(),20,0.6
5dd00f0e82a527107df2df46,13,"[32, 33]",2,"[32, 33]",100.0,100.0,"[32, 33]",set(),set(),20,0.65
5dd00f0e82a527107df2df46,14,[35],1,[35],100.0,100.0,[35],set(),set(),20,0.7
5dd00f0e82a527107df2df46,15,[38],1,[38],100.0,100.0,[38],set(),set(),20,0.75
5dd00f0e82a527107df2df46,16,[37],1,[37],100.0,100.0,[37],set(),set(),20,0.8
5dd00f0e82a527107df2df46,17,[39],1,[39],100.0,100.0,[39],set(),set(),20,0.85
5dd00f0e82a527107df2df46,18,"[43, 44]",2,"[43, 44]",100.0,100.0,"[43, 44]",set(),set(),20,0.9
5dd00f0e82a527107df2df46,19,[44],1,[44],100.0,100.0,[44],set(),set(),20,0.95
5dd00f0e82a527107df2df46,20,[44],1,[44],100.0,100.0,[44],set(),set(),20,1.0
5eb0453f0852800c239c6afd,1,"[1, 4]",2,[1],50.0,50.0,[1],set(),{4},21,0.047619047619047616
5eb0453f0852800c239c6afd,2,"[2, 3]",2,"[2, 3]",100.0,100.0,"[2, 3]",set(),set(),21,0.09523809523809523
5eb0453f0852800c239c6afd,3,[8],1,[8],100.0,100.0,[8],set(),set(),21,0.14285714285714285
5eb0453f0852800c239c6afd,4,"[6, 7]",2,"[6, 7]",100.0,100.0,"[6, 7]",set(),set(),21,0.19047619047619047
5eb0453f0852800c239c6afd,5,[9],1,[9],100.0,100.0,[9],set(),set(),21,0.23809523809523808
5eb0453f0852800c239c6afd,6,"[11, 12]",2,[12],50.0,50.0,[12],set(),{11},21,0.2857142857142857
5eb0453f0852800c239c6afd,7,"[13, 14]",2,[14],50.0,50.0,[14],set(),{13},21,0.3333333333333333
5eb0453f0852800c239c6afd,8,"[15, 16]",2,[16],50.0,100.0,"[15, 16]",{15},set(),21,0.38095238095238093
5eb0453f0852800c239c6afd,9,[15],1,[15],100.0,100.0,[15],set(),set(),21,0.42857142857142855
5eb0453f0852800c239c6afd,10,[21],1,[21],100.0,100.0,[21],set(),set(),21,0.47619047619047616
5eb0453f0852800c239c6afd,11,[22],1,[22],100.0,100.0,[22],set(),set(),21,0.5238095238095238
5eb0453f0852800c239c6afd,12,"[23, 24]",2,"[23, 24]",100.0,100.0,"[23, 24]",set(),set(),21,0.5714285714285714
5eb0453f0852800c239c6afd,13,"[25, 26]",2,"[25, 26]",100.0,100.0,"[25, 26]",set(),set(),21,0.6190476190476191
5eb0453f0852800c239c6afd,14,"[27, 28]",2,"[27, 28]",100.0,100.0,"[27, 28]",set(),set(),21,0.6666666666666666
5eb0453f0852800c239c6afd,15,"[29, 30, 31]",3,"[30, 31]",66.66666666666667,100.0,"[29, 30, 31]",{29},set(),21,0.7142857142857143
5eb0453f0852800c239c6afd,16,"[32, 33]",2,"[32, 33]",100.0,100.0,"[32, 33]",set(),set(),21,0.7619047619047619
5eb0453f0852800c239c6afd,17,"[34, 35, 36]",3,"[34, 35, 36]",100.0,100.0,"[34, 35, 36]",set(),set(),21,0.8095238095238095
5eb0453f0852800c239c6afd,18,"[37, 38]",2,"[37, 38]",100.0,100.0,"[37, 38]",set(),set(),21,0.8571428571428571
5eb0453f0852800c239c6afd,19,[39],1,[39],100.0,100.0,[39],set(),set(),21,0.9047619047619048
5eb0453f0852800c239c6afd,20,"[40, 41, 42]",3,"[40, 41, 42]",100.0,100.0,"[40, 41, 42]",set(),set(),21,0.9523809523809523
5eb0453f0852800c239c6afd,21,"[43, 44]",2,"[43, 44]",100.0,100.0,"[43, 44]",set(),set(),21,1.0
5e44835e19674731744ba0cd,1,"[1, 2]",2,"[1, 2]",100.0,100.0,"[1, 2]",set(),set(),13,0.07692307692307693
5e44835e19674731744ba0cd,2,[3],1,[3],100.0,100.0,[3],set(),set(),13,0.15384615384615385
5e44835e19674731744ba0cd,3,"[10, 13, 14]",3,"[10, 13, 14]",100.0,100.0,"[10, 13, 14]",set(),set(),13,0.23076923076923078
5e44835e19674731744ba0cd,4,[16],1,[16],100.0,100.0,[16],set(),set(),13,0.3076923076923077
5e44835e19674731744ba0cd,5,"[15, 28]",2,"[15, 28]",100.0,100.0,"[15, 28]",set(),set(),13,0.38461538461538464
5e44835e19674731744ba0cd,6,"[21, 22, 23]",3,"[21, 22, 23]",100.0,100.0,"[21, 22, 23]",set(),set(),13,0.46153846153846156
5e44835e19674731744ba0cd,7,[29],1,[29],100.0,100.0,[29],set(),set(),13,0.5384615384615384
5e44835e19674731744ba0cd,8,"[30, 31]",2,"[30, 31]",100.0,100.0,"[30, 31]",set(),set(),13,0.6153846153846154
5e44835e19674731744ba0cd,9,"[32, 33]",2,"[32, 33]",100.0,100.0,"[32, 33]",set(),set(),13,0.6923076923076923
5e44835e19674731744ba0cd,10,[35],1,[35],100.0,100.0,[35],set(),set(),13,0.7692307692307693
5e44835e19674731744ba0cd,11,[39],1,[39],100.0,100.0,[39],set(),set(),13,0.8461538461538461
5e44835e19674731744ba0cd,12,"[41, 42]",2,"[41, 42]",100.0,100.0,"[41, 42]",set(),set(),13,0.9230769230769231
5e44835e19674731744ba0cd,13,"[43, 44]",2,"[43, 44]",100.0,100.0,"[43, 44]",set(),set(),13,1.0
