recall_id,clause_id,segment_ids,fan_out,reciprocal,percentage,including_other_clauses_percentage,including_other_clauses,only_secondary,totally_missed,max_clause_id,clause_position
613b0345b71875844ee7fbe3,1,[2],1,[],0.0,0.0,[],set(),{2},5,0.2
613b0345b71875844ee7fbe3,2,[2],1,[],0.0,0.0,[],set(),{2},5,0.4
613b0345b71875844ee7fbe3,3,"[1, 12, 13]",3,[],0.0,0.0,[],set(),"{1, 12, 13}",5,0.6
613b0345b71875844ee7fbe3,4,"[11, 12]",2,[],0.0,0.0,[],set(),"{11, 12}",5,0.8
613b0345b71875844ee7fbe3,5,"[5, 7, 13, 14]",4,[],0.0,0.0,[],set(),"{13, 5, 14, 7}",5,1.0
641c2b936dc70fab01d77dc6,1,"[1, 2, 3, 6]",4,[],0.0,0.0,[],set(),"{1, 2, 3, 6}",6,0.16666666666666666
641c2b936dc70fab01d77dc6,2,"[5, 7, 13, 14]",4,[],0.0,0.0,[],set(),"{13, 5, 14, 7}",6,0.3333333333333333
641c2b936dc70fab01d77dc6,3,"[11, 12]",2,[],0.0,0.0,[],set(),"{11, 12}",6,0.5
641c2b936dc70fab01d77dc6,4,"[4, 10]",2,[],0.0,0.0,[],set(),"{10, 4}",6,0.6666666666666666
641c2b936dc70fab01d77dc6,5,"[8, 9, 18]",3,[],0.0,0.0,[],set(),"{8, 9, 18}",6,0.8333333333333334
641c2b936dc70fab01d77dc6,6,"[17, 18]",2,[],0.0,0.0,[],set(),"{17, 18}",6,1.0
60fd36bd3daa2d81249f11b2,1,[1],1,[],0.0,0.0,[],set(),{1},14,0.07142857142857142
60fd36bd3daa2d81249f11b2,2,"[2, 6]",2,[],0.0,0.0,[],set(),"{2, 6}",14,0.14285714285714285
60fd36bd3daa2d81249f11b2,3,[3],1,[],0.0,0.0,[],set(),{3},14,0.21428571428571427
60fd36bd3daa2d81249f11b2,4,[7],1,[],0.0,0.0,[],set(),{7},14,0.2857142857142857
60fd36bd3daa2d81249f11b2,5,[8],1,[],0.0,0.0,[],set(),{8},14,0.35714285714285715
60fd36bd3daa2d81249f11b2,6,[9],1,[],0.0,0.0,[],set(),{9},14,0.42857142857142855
60fd36bd3daa2d81249f11b2,7,[10],1,[],0.0,0.0,[],set(),{10},14,0.5
60fd36bd3daa2d81249f11b2,8,[11],1,[],0.0,0.0,[],set(),{11},14,0.5714285714285714
60fd36bd3daa2d81249f11b2,9,[12],1,[],0.0,0.0,[],set(),{12},14,0.6428571428571429
60fd36bd3daa2d81249f11b2,10,[13],1,[],0.0,0.0,[],set(),{13},14,0.7142857142857143
60fd36bd3daa2d81249f11b2,11,[14],1,[],0.0,0.0,[],set(),{14},14,0.7857142857142857
60fd36bd3daa2d81249f11b2,12,[15],1,[],0.0,0.0,[],set(),{15},14,0.8571428571428571
60fd36bd3daa2d81249f11b2,13,[16],1,[],0.0,0.0,[],set(),{16},14,0.9285714285714286
60fd36bd3daa2d81249f11b2,14,[16],1,[],0.0,0.0,[],set(),{16},14,1.0
60bff932463d5ad0d1ca15cc,1,"[1, 11, 12]",3,[],0.0,0.0,[],set(),"{1, 11, 12}",11,0.09090909090909091
60bff932463d5ad0d1ca15cc,2,"[3, 8]",2,[],0.0,0.0,[],set(),"{8, 3}",11,0.18181818181818182
60bff932463d5ad0d1ca15cc,3,"[5, 7]",2,[],0.0,0.0,[],set(),"{5, 7}",11,0.2727272727272727
60bff932463d5ad0d1ca15cc,4,[9],1,[],0.0,0.0,[],set(),{9},11,0.36363636363636365
60bff932463d5ad0d1ca15cc,5,[8],1,[],0.0,0.0,[],set(),{8},11,0.45454545454545453
60bff932463d5ad0d1ca15cc,6,[10],1,[],0.0,0.0,[],set(),{10},11,0.5454545454545454
60bff932463d5ad0d1ca15cc,7,[10],1,[],0.0,0.0,[],set(),{10},11,0.6363636363636364
60bff932463d5ad0d1ca15cc,8,[11],1,[],0.0,0.0,[],set(),{11},11,0.7272727272727273
60bff932463d5ad0d1ca15cc,9,"[1, 11, 12]",3,[],0.0,0.0,[],set(),"{1, 11, 12}",11,0.8181818181818182
60bff932463d5ad0d1ca15cc,10,[13],1,[],0.0,0.0,[],set(),{13},11,0.9090909090909091
60bff932463d5ad0d1ca15cc,11,[13],1,[],0.0,0.0,[],set(),{13},11,1.0
60fea505c8796961a71b67d9,1,[3],1,[],0.0,0.0,[],set(),{3},11,0.09090909090909091
60fea505c8796961a71b67d9,2,[2],1,[],0.0,0.0,[],set(),{2},11,0.18181818181818182
60fea505c8796961a71b67d9,3,[7],1,[],0.0,0.0,[],set(),{7},11,0.2727272727272727
60fea505c8796961a71b67d9,4,[7],1,[],0.0,0.0,[],set(),{7},11,0.36363636363636365
60fea505c8796961a71b67d9,5,[11],1,[],0.0,0.0,[],set(),{11},11,0.45454545454545453
60fea505c8796961a71b67d9,6,"[1, 12]",2,[],0.0,0.0,[],set(),"{1, 12}",11,0.5454545454545454
60fea505c8796961a71b67d9,7,"[5, 13]",2,[],0.0,0.0,[],set(),"{5, 13}",11,0.6363636363636364
60fea505c8796961a71b67d9,8,[16],1,[],0.0,0.0,[],set(),{16},11,0.7272727272727273
60fea505c8796961a71b67d9,9,[17],1,[],0.0,0.0,[],set(),{17},11,0.8181818181818182
