recall_id,clause_id,segment_ids,fan_out,reciprocal,percentage,including_other_clauses_percentage,including_other_clauses,only_secondary,totally_missed,max_clause_id,clause_position,clause_text
68,21,[21],1,[],0.0,0.0,[],set(),{21},29,0.7241379310344828,"Maria's mother also told that Maria was fine after operation,"
68,25,[25],1,[],0.0,0.0,[],set(),{25},29,0.8620689655172413,"Maria's mother still doesn't understand how her daughter passed out,"
92,31,[31],1,[],0.0,0.0,[],set(),{31},58,0.5344827586206896,"and immediately,"
53,1,[1],1,[],0.0,0.0,[],set(),{1},35,0.0285714285714285,The story was told by a woman
53,31,[31],1,[],0.0,0.0,[],set(),{31},35,0.8857142857142857,and had known the nurses
0,1,[1],1,[],0.0,0.0,[],set(),{1},72,0.0138888888888888,"My daughter died,"
98,1,[1],1,[],0.0,0.0,[],set(),{1},90,0.0111111111111111,My daughter died.
98,3,[3],1,[],0.0,0.0,[],set(),{3},90,0.0333333333333333,"She was in hospital, getting operated on for appendicitis."
95,1,[1],1,[],0.0,0.0,[],set(),{1},47,0.0212765957446808,My daughter died
95,3,[3],1,[],0.0,0.0,[],set(),{3},47,0.0638297872340425,on the 30th day of the month
95,4,[4],1,[],0.0,0.0,[],set(),{4},47,0.0851063829787234,at the Methodist hospital.
95,5,[5],1,[],0.0,0.0,[],set(),{5},47,0.1063829787234042,She had gone for an operation
95,7,[7],1,[],0.0,0.0,[],set(),{7},47,0.1489361702127659,I sent my other daughter Victoria in
95,10,[10],1,[],0.0,0.0,[],set(),{10},47,0.2127659574468085,she noticed a chair in the room.
21,5,[5],1,[],0.0,0.0,[],set(),{5},8,0.625,for appendicitis.
13,1,[1],1,[],0.0,0.0,[],set(),{1},58,0.0172413793103448,The story was about a girl named Marie
13,18,[18],1,[],0.0,0.0,[],set(),{18},58,0.3103448275862069,and the doctors checked up on her.
13,26,[26],1,[],0.0,0.0,[],set(),{26},58,0.4482758620689655,from the hospital
13,28,[28],1,[],0.0,0.0,[],set(),{28},58,0.4827586206896552,and she could come pick her up
19,1,[1],1,[],0.0,0.0,[],set(),{1},28,0.0357142857142857,"The story was about the death of a woman's daughter, Marie."
19,5,[5],1,[],0.0,0.0,[],set(),{5},28,0.1785714285714285,The daughter that died had been in the hospital for appendicitis.
61,1,[1],1,[],0.0,0.0,[],set(),{1},48,0.0208333333333333,My daughter died.
61,2,[2],1,[],0.0,0.0,[],set(),{2},48,0.0416666666666666,She'd be twenty-eight years this month.
61,3,[3],1,[],0.0,0.0,[],set(),{3},48,0.0625,The thirtieth of this month yeah.
61,4,[4],1,[],0.0,0.0,[],set(),{4},48,0.0833333333333333,She died at Methodist Hospital.
61,5,[5],1,[],0.0,0.0,[],set(),{5},48,0.1041666666666666,She had an operation for appendicitis.
61,6,[6],1,[],0.0,0.0,[],set(),{6},48,0.125,"It was Saturday afternoon when they operated, very late."
61,7,[7],1,[],0.0,0.0,[],set(),{7},48,0.1458333333333333,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was."
61,8,[8],1,[],0.0,0.0,[],set(),{8},48,0.1666666666666666,She was still under ether.
61,9,[9],1,[],0.0,0.0,[],set(),{9},48,0.1875,"Back then, they used a lot of ether."
61,10,[10],1,[],0.0,0.0,[],set(),{10},48,0.2083333333333333,There was a chair there.
61,11,[11],1,[],0.0,0.0,[],set(),{11},48,0.2291666666666666,They were just starting to get people out.
61,31,[31],1,[],0.0,0.0,[],set(),{31},48,0.6458333333333334,"I was going,"
61,32,[32],1,[],0.0,0.0,[],set(),{32},48,0.6666666666666666,"I said ""Rita, Finish the cooking."
61,33,[33],1,[],0.0,0.0,[],set(),{33},48,0.6875,"Daddy will be home soon""."
61,34,[34],1,[],0.0,0.0,[],set(),{34},48,0.7083333333333334,He was working down in the yard.
61,35,[35],1,[],0.0,0.0,[],set(),{35},48,0.7291666666666666,"I said, ""And put a big pot of coffee on"""
61,36,[36],1,[],0.0,0.0,[],set(),{36},48,0.75,because she had been wishing for coffee.
14,1,[1],1,[],0.0,0.0,[],set(),{1},29,0.0344827586206896,"Her daughter died in the hospital,"
8,1,[1],1,[],0.0,0.0,[],set(),{1},35,0.0285714285714285,"My daughter died,"
8,32,[32],1,[],0.0,0.0,[],set(),{32},35,0.9142857142857144,and when she told the Dad
51,1,[1],1,[],0.0,0.0,[],set(),{1},43,0.0232558139534883,"Mrs Costa's daughter, Marie, was in the hospital getting treated for an illness."
60,1,[1],1,[],0.0,0.0,[],set(),{1},18,0.0555555555555555,Mother telling a story
60,4,[4],1,[],0.0,0.0,[],set(),{4},18,0.2222222222222222,in hospital
101,1,[1],1,[],0.0,0.0,[],set(),{1},30,0.0333333333333333,A mother was recalling events
15,1,[1],1,[],0.0,0.0,[],set(),{1},52,0.0192307692307692,"A woman recounts the passing of her daughter, Marie."
15,2,[2],1,[],0.0,0.0,[],set(),{2},52,0.0384615384615384,She talks about how it happened 28 years ago.
15,4,[4],1,[],0.0,0.0,[],set(),{4},52,0.0769230769230769,Marie was in hospital.
15,5,[5],1,[],0.0,0.0,[],set(),{5},52,0.0961538461538461,She was having an operation to treat appendicitis.
67,31,[31],1,[],0.0,0.0,[],set(),{31},33,0.9393939393939394,and in the end
6,23,[23],1,[],0.0,0.0,[],set(),{23},24,0.9583333333333334,Everyone’s family member was in shock
55,5,[5],1,[],0.0,0.0,[],set(),{5},60,0.0833333333333333,She had just had an operation.
94,5,[5],1,[],0.0,0.0,[],set(),{5},13,0.3846153846153846,"Marie died in hospital from appendicitis,"
11,31,[31],1,[],0.0,0.0,[],set(),{31},52,0.5961538461538461,It turned out
64,1,[1],1,[],0.0,0.0,[],set(),{1},77,0.0129870129870129,My daughter died.
1,1,[1],1,[],0.0,0.0,[],set(),{1},15,0.0666666666666666,The story was about a mother's reaction
99,1,[1],1,[],0.0,0.0,[],set(),{1},27,0.037037037037037,"The daughter died,"
52,1,[1],1,[],0.0,0.0,[],set(),{1},22,0.0454545454545454,Mrs Mary Costas tells the story
