recall_id,clause_id,segment_ids,fan_out,max_clause_id,clause_text,segment_text
68,21,[21],1,29,"Maria's mother also told that Maria was fine after operation,","See, here, she never ?€? I don?€?t know if they knew or what,"
68,25,[25],1,29,"Maria's mother still doesn't understand how her daughter passed out,",I didn?€?t have a phone then.
92,31,[31],1,58,"and immediately,","And Rita was ?€? I was cooking,"
53,1,[1],1,35,The story was told by a woman,My daughter died.
53,31,[31],1,35,and had known the nurses,"And Rita was ?€? I was cooking,"
0,1,[1],1,72,"My daughter died,",My daughter died.
98,1,[1],1,90,My daughter died.,My daughter died.
98,3,[3],1,90,"She was in hospital, getting operated on for appendicitis.","The thirtieth of this month, yeah."
95,1,[1],1,47,My daughter died,My daughter died.
95,3,[3],1,47,on the 30th day of the month,"The thirtieth of this month, yeah."
95,4,[4],1,47,at the Methodist hospital.,She died at Methodist Hospital.
95,5,[5],1,47,She had gone for an operation,She had an operation for appendicitis.
95,7,[7],1,47,I sent my other daughter Victoria in,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was."
95,10,[10],1,47,she noticed a chair in the room.,There was a chair there.
21,5,[5],1,8,for appendicitis.,She had an operation for appendicitis.
13,1,[1],1,58,The story was about a girl named Marie,My daughter died.
13,18,[18],1,58,and the doctors checked up on her.,"So, they went to get her out of bed,"
13,26,[26],1,58,from the hospital,"The lady from the store who had a phone called me, ?€?Mrs. Costa,?€? at aquarter to five at night."
13,28,[28],1,58,and she could come pick her up,Go Pick Marie up.
19,1,[1],1,28,"The story was about the death of a woman's daughter, Marie.",My daughter died.
19,5,[5],1,28,The daughter that died had been in the hospital for appendicitis.,She had an operation for appendicitis.
61,1,[1],1,48,My daughter died.,My daughter died.
61,2,[2],1,48,She'd be twenty-eight years this month.,It?€?ll be twenty-eight years this month.
61,3,[3],1,48,The thirtieth of this month yeah.,"The thirtieth of this month, yeah."
61,4,[4],1,48,She died at Methodist Hospital.,She died at Methodist Hospital.
61,5,[5],1,48,She had an operation for appendicitis.,She had an operation for appendicitis.
61,6,[6],1,48,"It was Saturday afternoon when they operated, very late.","It was late Saturday afternoon when they operated, very late."
61,7,[7],1,48,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.","Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was."
61,8,[8],1,48,She was still under ether.,She was still under ether.
61,9,[9],1,48,"Back then, they used a lot of ether.","Back then, they used a lot of ether."
61,10,[10],1,48,There was a chair there.,There was a chair there.
61,11,[11],1,48,They were just starting to get people out.,"They were just starting to get people out of bed, you know."
61,31,[31],1,48,"I was going,","And Rita was ?€? I was cooking,"
61,32,[32],1,48,"I said ""Rita, Finish the cooking.","I said, ?€?Rita, finish the cooking.?€?"
61,33,[33],1,48,"Daddy will be home soon"".",Daddy will be home soon.?€?
61,34,[34],1,48,He was working down in the yard.,He was working down in the yard.
61,35,[35],1,48,"I said, ""And put a big pot of coffee on""","I said, ?€?And put a big pot of coffee on,?€? because she had been wishing for coffee."
61,36,[36],1,48,because she had been wishing for coffee.,"And you know, every morning, that first cup of coffee, I offered it to her."
14,1,[1],1,29,"Her daughter died in the hospital,",My daughter died.
8,1,[1],1,35,"My daughter died,",My daughter died.
8,32,[32],1,35,and when she told the Dad,"I said, ?€?Rita, finish the cooking.?€?"
51,1,[1],1,43,"Mrs Costa's daughter, Marie, was in the hospital getting treated for an illness.",My daughter died.
60,1,[1],1,18,Mother telling a story,My daughter died.
60,4,[4],1,18,in hospital,She died at Methodist Hospital.
101,1,[1],1,30,A mother was recalling events,My daughter died.
15,1,[1],1,52,"A woman recounts the passing of her daughter, Marie.",My daughter died.
15,2,[2],1,52,She talks about how it happened 28 years ago.,It?€?ll be twenty-eight years this month.
15,4,[4],1,52,Marie was in hospital.,She died at Methodist Hospital.
15,5,[5],1,52,She was having an operation to treat appendicitis.,She had an operation for appendicitis.
67,31,[31],1,33,and in the end,"And Rita was ?€? I was cooking,"
6,23,[23],1,24,Everyone?€?s family member was in shock,"So, when she was walking around to come home after ten days,"
